"year","carbon_dioxide"
1950,1.2508082419159083
1951,1.250653238533909
1952,1.2537610926968175
1953,1.2599001393280909
1954,1.2688781774356357
1955,1.2805379954798184
1956,1.2947535126147267
1957,1.3114264568465452
1958,1.3304835153384544
1959,1.3518738988030912
1960,1.3755672688175455
1961,1.406978676793909
1962,1.431489920422091
1963,1.4734882446049087
1964,1.5241987682552733
1965,1.5939838441851815
1966,1.6523972944153635
1967,1.7109359313179995
1968,1.7573700014427263
1969,1.8230408049332725
1970,1.9041012914383642
1971,2.0101347298600913
1972,2.113403002638273
1973,2.2350111084583624
1974,2.373230748395727
1975,2.4574970281944557
1976,2.5134834678883644
1977,2.662287443504726
1978,2.777620944614181
1979,2.883328701459546
1980,3.005288058501546
1981,3.149022166430999
1982,3.322972482849817
1983,3.469173159848181
1984,3.6840354947026372
1985,3.985722968868546
1986,4.288751865370908
1987,4.601535108448636
1988,4.970301918542999
1989,5.413532162658816
1990,5.855385474483275
1991,5.854326748447364
1992,5.806412818743545
1993,5.847905781290452
1994,5.882404206820908
1995,6.011983098201275
1996,6.144768510727089
1997,6.186804676747909
1998,6.202190459945456
1999,6.2629807199146335
2000,6.466107746682818
2001,6.528723487754451
2002,6.6669098053865445
2003,6.983869206868908
2004,7.340867124656451
2005,7.596025921576905
2006,7.834551137957182
2007,8.137830014642997
2008,8.171794616283
2009,8.088389075412277
2010,8.485311792358088
2011,8.736587298411
2012,8.89793439624409
2013,9.167567738308088
2014,9.22345998094963
2015,9.215041878076361
2016,9.2976586837511
2017,9.380275489704822
2018,9.462892295214003
2019,9.54550910099864
2020,9.628125906859637
2021,9.705964182080455
2022,9.783802460659091
2023,9.861640737949362
2024,9.939479013443181
2025,10.017317291408999
2026,10.09515556936282
2027,10.172993846927726
2028,10.250832122718002
2029,10.32867040041763
2030,10.406508678548729
2031,10.444117729687093
2032,10.481726783522184
2033,10.51933583474673
2034,10.556944888372906
2035,10.594553939681452
2036,10.632162993523917
2037,10.669772044689001
2038,10.707381098659093
2039,10.744990150115173
2040,10.782599202779457
2041,10.803380301891814
2042,10.824161401539001
2043,10.844942500645908
2044,10.865723600224086
2045,10.886504699453724
2046,10.907285798823272
2047,10.928066898410997
2048,10.948847997584727
2049,10.969629096994908
2050,10.990410196391997
2051,10.954590550199724
2052,10.918770904108358
2053,10.882951257896192
2054,10.84713161220655
2055,10.811311965892903
2056,10.775492319878994
2057,10.739672673925087
2058,10.703853028206275
2059,10.668033381873817
2060,10.63221373575409
2061,10.507038219682363
2062,10.381862703270546
2063,10.256687186989636
2064,10.131511670667262
2065,10.006336154328814
2066,9.881160638113906
2067,9.755985121578824
