"year","carbon_dioxide"
1950,1.2508082419217366
1951,1.2506532385041194
1952,1.2537610926834286
1953,1.2599001393778293
1954,1.2688781774209235
1955,1.2805379954809808
1956,1.2947535125977296
1957,1.3114264568069811
1958,1.3304835153596306
1959,1.3518738987990755
1960,1.37556726880523
1961,1.4069786768069554
1962,1.4314899204139875
1963,1.4734882444495554
1964,1.5241987682662799
1965,1.593983844200589
1966,1.6523972944975651
1967,1.7109359313252102
1968,1.75737000134034
1969,1.823040804942167
1970,1.9041012914110527
1971,2.010134729873579
1972,2.1134030026566415
1973,2.2350111085805513
1974,2.373230748366799
1975,2.4574970280149766
1976,2.5134834678569278
1977,2.6622874434431307
1978,2.777620944692956
1979,2.8833287013740776
1980,3.005288058639718
1981,3.149022166441329
1982,3.3229724830937934
1983,3.469173159952316
1984,3.684035494854399
1985,3.985722968601762
1986,4.288751865457228
1987,4.601535108203172
1988,4.97030191845006
1989,5.413532162792753
1990,5.85538547454818
1991,5.854326748360908
1992,5.806412818476545
1993,5.847905781160909
1994,5.88240420678409
1995,6.0119830981941815
1996,6.144768510722181
1997,6.186804676836273
1998,6.202190459950637
1999,6.262980719722526
2000,6.466107746545964
2001,6.528723487903774
2002,6.666909805733643
2003,6.983869206615134
2004,7.340867124499745
2005,7.5960259212883114
2006,7.834551137804453
2007,8.137830014502653
2008,8.171794616380664
2009,8.088389075513726
2010,8.485311792427717
2011,8.736587298588736
2012,8.897934396121116
2013,9.1675677371622
2014,9.223459980010281
2015,9.215041876947543
2016,9.263742918658428
2017,9.312443960369311
2018,9.3611450020802
2019,9.409846043791084
2020,9.45854708550197
2021,9.099513608418183
2022,8.740480131334397
2023,8.381446654250611
2024,8.022413177166822
2025,7.663379700083034
2026,7.304346222999248
2027,6.945312745915461
2028,6.586279268831672
2029,6.227245791747886
2030,5.8682123146641
2031,5.509007695466227
2032,5.149803076268353
2033,4.790598457070479
2034,4.431393837872605
2035,4.072189218674732
2036,3.7129845994768593
2037,3.3537799802789867
2038,2.9945753610811137
2039,2.6353707418832406
2040,2.276166122685367
2041,2.110685818207294
2042,1.945205513729221
2043,1.779725209251148
2044,1.6142449047730756
2045,1.448764600295002
2046,1.2832842958169297
2047,1.1178039913388567
2048,0.9523236868607836
2049,0.7868433823827105
2050,0.6213630779046376
2051,0.5443355868307844
2052,0.46730809575693133
2053,0.39028060468307796
2054,0.3132531136092248
2055,0.23622562253537163
2056,0.15919813146151846
2057,0.08217064038766535
2058,0.005143149313812079
2059,-0.07188434176004102
2060,-0.14891183283389423
2061,-0.21887270088184962
2062,-0.2888335689298051
2063,-0.3587944369777603
2064,-0.4287553050257158
2065,-0.4987161730736712
2066,-0.5686770411216266
2067,-0.638637909169582
2068,-0.7085987772175372
2069,-0.7785596452654928
2070,-0.8485205133134481
2071,-0.9161356320107326
2072,-0.983750750708017
2073,-1.0513658694053014
2074,-1.1189809881025863
2075,-1.1865961067998707
2076,-1.2542112254971551
2077,-1.3218263441944396
2078,-1.3894414628917242
2079,-1.4570565815890089
2080,-1.524671700286293
2081,-1.6090258569852587
2082,-1.6933800136842245
2083,-1.7777341703831897
2084,-1.8620883270821553
2085,-1.9464424837811216
2086,-2.030796640480087
2087,-2.115150797179052
2088,-2.1995049538780176
2089,-2.2838591105769837
2090,-2.3682132672759484
2091,-2.452951322510679
2092,-2.537689377745408
2093,-2.622427432980139
2094,-2.7071654882148697
2095,-2.7919035434496005
2096,-2.876641598684331
2097,-2.9613796539190607
2098,-3.046117709153791
2099,-3.1308557643885213
2100,-3.2155938196232503
2101,-3.1241140343692524
2102,-3.0363997747144507
2103,-2.952270585536699
2104,-2.8715556167582577
2105,-2.7940930674462034
2106,-2.7197296643243596
2107,-2.6483201724396137
2108,-2.5797269358811876
2109,-2.5138194465958383
2110,-2.450473939476064
2111,-2.389573012022859
2112,-2.331005267000136
2113,-2.2746649766052767
2114,-2.220451766780037
2115,-2.1682703203786713
2116,-2.1180300979963333
2117,-2.0696450753408566
2118,-2.0230334961055227
2119,-1.9781176393697044
2120,-1.9348236006187043
2121,-1.8930810855341087
2122,-1.852823215761808
2123,-1.8139863459167913
2124,-1.7765098911322739
2125,-1.7403361645057687
2126,-1.7054102238367517
2127,-1.6716797270896975
2128,-1.6390947960527935
2129,-1.6076078876966258
2130,-1.5771736727689014
2131,-1.5477489211908384
2132,-1.519292393848493
2133,-1.4917647403980687
2134,-1.4651284027282918
2135,-1.4393475237454134
2136,-1.4143878611673761
2137,-1.3902167060332677
2138,-1.366802805652501
2139,-1.3441162907352622
2140,-1.3221286064617557
2141,-1.300812447262745
2142,-1.2801416950978415
2143,-1.2600913610310984
2144,-1.2406375299156847
2145,-1.22175730801087
2146,-1.2034287733652689
2147,-1.1856309288103295
2148,-1.168343657417431
2149,-1.15154768028078
2150,-1.135224516496512
2151,-1.119356445216155
2152,-1.103926469659827
2153,-1.0889182829813464
2154,-1.0743162358837874
2155,-1.060105305889979
2156,-1.0462710681780565
2157,-1.0327996678974123
2158,-1.019677793885325
2159,-1.006892653709186
2160,-0.9944319499635649
2161,-0.9822838577554511
2162,-0.9704370033148272
2163,-0.9588804436713387
2164,-0.9476036473411986
2165,-0.9365964759716394
2166,-0.9258491668932255
2167,-0.915352316533131
2168,-0.9050968646451338
2169,-0.8950740793145671
2170,-0.8852755426987873
2171,-0.8756931374659344
2172,-0.8663190338968141
2173,-0.8571456776166795
2174,-0.8481657779255305
2175,-0.8393722966972581
2176,-0.8307584378195969
2177,-0.8223176371483714
2178,-0.8140435529509673
2179,-0.8059300568153054
2180,-0.7979712250018838
2181,-0.7901613302176579
2182,-0.7824948337916503
2183,-0.7749663782332696
2184,-0.7675707801553114
2185,-0.760303023544571
2186,-0.7531582533638975
2187,-0.7461317694703509
2188,-0.7392190208349346
2189,-0.7324156000501213
2190,-0.7257172381120937
2191,-0.719119799465299
2192,-0.7126192772975412
2193,-0.7062117890744294
2194,-0.6998935723025661
2195,-0.6936609805113794
2196,-0.6875104794440174
2197,-0.6814386434481728
2198,-0.675442152058177
2199,-0.6695177867600933
2200,-0.6636624279319591
2201,-0.6578537065269605
2202,-0.6520898824132065
2203,-0.6463693059899499
2204,-0.6406904169711621
2205,-0.6350517432184962
2206,-0.6294518996186264
2207,-0.6238895870000598
2208,-0.6183635910846633
2209,-0.6128727814692643
2210,-0.6074161106328213
2211,-0.6019926129647767
2212,-0.5966014038103367
2213,-0.5912416785285437
2214,-0.5859127115591315
2215,-0.5806138554942886
2216,-0.5753445401515628
2217,-0.5701042716442905
2218,-0.564892631446042
2219,-0.559709275445725
2220,-0.5545539329900986
2221,-0.5494264059106068
2222,-0.5443265675315587
2223,-0.5392543616568344
2224,-0.5342098015324244
2225,-0.5291929687822676
2226,-0.5242040123149829
2227,-0.5192431471992524
2228,-0.5143106535057529
2229,-0.509406875113693
2230,-0.5045322184801658
2231,-0.49968715137068337
2232,-0.49487220154941713
2233,-0.490087955427843
2234,-0.4853350566706312
2235,-0.48061420475780936
2236,-0.4759261535023753
2237,-0.471271709522723
2238,-0.46665173066939347
2239,-0.46206712440585346
2240,-0.45751884614316146
2241,-0.4530078975285575
2242,-0.44853532468818713
2243,-0.44410221642433445
2244,-0.43970970236771606
2245,-0.43535895108555606
2246,-0.43105116814632766
2247,-0.4267875941422197
2248,-0.4225695026705467
2249,-0.4183981982754864
2250,-0.4142750143516888
2251,-0.41020131101145846
2252,-0.4061784729173639
2253,-0.4022079070822802
2254,-0.3982910406390154
2255,-0.39442931858181507
2256,-0.39062420148217225
2257,-0.3868771631815048
2258,-0.3831896884633877
2259,-0.37956327070814405
2260,-0.3759994095327169
2261,-0.3724996084188501
2262,-0.3690653723326985
2263,-0.36569820533909675
2264,-0.3623996082137821
2265,-0.35917107605695936
2266,-0.356014095911657
2267,-0.3529301443903842
2268,-0.3499206853136598
2269,-0.34698716736401314
2270,-0.34413102175910704
2271,-0.3413536599476475
2272,-0.33865647133176485
2273,-0.3360408210195622
2274,-0.3335080476115171
2275,-0.3310594610244191
2276,-0.32869634035649503
2277,-0.3264199317973551
2278,-0.3242314465863422
2279,-0.32213205902282305
2280,-0.32012290453189973
2281,-0.3182050777889529
2282,-0.31637963090634946
2283,-0.31464757168556234
2284,-0.31300986193785746
2285,-0.31146741587659493
2286,-0.31002109858408594
2287,-0.30867172455582165
2288,-0.3074200563247698
2289,-0.30626680316829286
