File Description: Default gas and forcing agent parameters for the FAIR v2.0 simple climate model.,,,,,,,,,,,,,,,,,,
"Code Source: Extracted from https://github.com/njleach/
FAIR/tree/47c6eec031d2edcf09424394dbb86581a1b246ba",,,,,,,,,,,,,,,,,,
"Paper Reference: Leach et al. 2021. ""FaIRv2.0.0: a generalized impulse response model for climate
uncertainty and future scenario exploration,"" Geoscientific Model Development. https://doi.org/10.5194/gmd-14-3007-2021",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
gas_name,gas_group,a1,a2,a3,a4,tau1,tau2,tau3,tau4,r0,rC,rT,rA,PI_conc,emis2conc,f1,f2,f3
c2f6,flourinated,1,0,0,0,100,1,1,1,184.8995876,0,0,0,1.00E-15,0.04076988,0,0.25,0
c3f8,flourinated,1,0,0,0,26,1,1,1,132.7838396,0,0,0,1.00E-15,0.029925812,0,0.28,0
c4f10,flourinated,1,0,0,0,26,1,1,1,132.7838396,0,0,0,1.00E-15,0.02363871,0,0.36,0
c5f12,flourinated,1,0,0,0,41,1,1,1,169.5835838,0,0,0,1.00E-15,0.019534677,0,0.41,0
c6f14,flourinated,1,0,0,0,31,1,1,1,148.5644136,0,0,0,1.00E-15,0.016644829,0,0.44,0
c7f16,flourinated,1,0,0,0,30,1,1,1,145.7278604,0,0,0,1.00E-15,0.014499847,0,0.5,0
c8f18,flourinated,1,0,0,0,30,1,1,1,145.7278604,0,0,0,1.00E-15,0.012844476,0,0.55,0
c_c4f8,flourinated,1,0,0,0,32,1,1,1,151.2509726,0,0,0,1.00E-15,0.028129036,0,0.32,0
carbon_dioxide,primary,0.2173,0.224,0.2824,0.2763,1000000000,394.4,36.54,4.304,33.9,0.0188,2.67,0,278,0.468887594,4.57,0,0.086
carbon_tetrachloride,montreal,1,0,0,0,0.32,1,1,1,1.79365446,0,0,0,2.50E-05,0.036579451,0,0.174,0
cf4,flourinated,1,0,0,0,500,1,1,1,130.9830438,0,0,0,0.03405,0.063936093,0,0.09,0
cfc113,montreal,1,0,0,0,0.93,1,1,1,5.212808273,0,0,0,1.00E-15,0.030028665,0,0.3,0
cfc114,montreal,1,0,0,0,1.89,1,1,1,10.59377165,0,0,0,1.00E-15,0.032919794,0,0.31,0
cfc115,montreal,1,0,0,0,5.4,1,1,1,30.26791455,0,0,0,1.00E-15,0.03642647,0,0.2,0
cfc11,montreal,1,0,0,0,0.52,1,1,1,2.914688497,0,0,0,1.00E-15,0.040959825,0,0.26,0
cfc12,montreal,1,0,0,0,1.02,1,1,1,5.71727359,0,0,0,1.00E-15,0.046535862,0,0.32,0
ch2cl2,montreal,1,0,0,0,0.004928266,1,1,1,0.027623772,0,0,0,0.006912761,0.066250455,0,0.028,0
ch3ccl3,montreal,1,0,0,0,0.05,1,1,1,0.280258509,0,0,0,1.00E-15,0.042178794,0,0.07,0
chcl3,montreal,1,0,0,0,0.005010404,1,1,1,0.028084168,0,0,0,0.006,0.047136225,0,0.07,0
halon1211,montreal,1,0,0,0,0.16,1,1,1,0.89682723,0,0,0,4.45E-06,0.034026676,0,0.29,0
halon1301,montreal,1,0,0,0,0.72,1,1,1,4.035722534,0,0,0,1.00E-15,0.037785583,0,0.3,0
halon2402,montreal,1,0,0,0,0.28,1,1,1,1.569447652,0,0,0,1.00E-15,0.021655708,0,0.31,0
hcfc141b,montreal,1,0,0,0,0.094,1,1,1,0.526885997,0,0,0,1.00E-15,0.04811571,0,0.16,0
hcfc142b,montreal,1,0,0,0,0.18,1,1,1,1.008930633,0,0,0,1.00E-15,0.05599215,0,0.19,0
hcfc22,montreal,1,0,0,0,0.119,1,1,1,0.667015252,0,0,0,1.00E-15,0.065070558,0,0.21,0
hfc125,flourinated,1,0,0,0,0.3,1,1,1,1.681551056,0,0,0,1.00E-15,0.046880946,0,0.23,0
hfc134a,flourinated,1,0,0,0,0.14,1,1,1,0.784723826,0,0,0,1.00E-15,0.055147027,0,0.16,0
hfc143a,flourinated,1,0,0,0,0.51,1,1,1,2.858636795,0,0,0,1.00E-15,0.06695206,0,0.16,0
hfc152a,flourinated,1,0,0,0,0.016,1,1,1,0.089682723,0,0,0,1.00E-15,0.085187754,0,0.1,0
hfc227ea,flourinated,1,0,0,0,0.36,1,1,1,2.017861267,0,0,0,1.00E-15,0.033092108,0,0.26,0
hfc236fa,flourinated,1,0,0,0,2.13,1,1,1,11.9390125,0,0,0,1.00E-15,0.037007946,0,0.24,0
hfc23,flourinated,1,0,0,0,2.28,1,1,1,12.77978802,0,0,0,1.00E-15,0.080369249,0,0.18,0
hfc245fa,flourinated,1,0,0,0,0.079,1,1,1,0.442808445,0,0,0,1.00E-15,0.041974272,0,0.24,0
hfc32,flourinated,1,0,0,0,0.054,1,1,1,0.30267919,0,0,0,1.00E-15,0.108163228,0,0.11,0
hfc365mfc,flourinated,1,0,0,0,0.089,1,1,1,0.498860147,0,0,0,1.00E-15,0.037998914,0,0.22,0
hfc4310mee,flourinated,1,0,0,0,0.17,1,1,1,0.952878932,0,0,0,1.00E-15,0.022323109,0,0.359,0
methane,primary,1,0,0,0,8.25,1,1,1,8.25,0,-0.3,0.00032,720,0.351665695,0,0,0.038
methyl_bromide,montreal,1,0,0,0,0.008,1,1,1,0.044841361,0,0,0,0.005299998,0.059265337,0,0.004,0
methyl_chloride,montreal,1,0,0,0,0.009,1,1,1,0.050446532,0,0,0,0.457,0.111440902,0,0.004,0
nf3,flourinated,1,0,0,0,5.69,1,1,1,31.89340688,0,0,0,1.00E-15,0.079248607,0,0.2,0
nitrous_oxide,primary,1,0,0,0,100,1,1,1,63.2,0,0,0,270,0.200951826,0,0,0.106
sf6,flourinated,1,0,0,0,32,1,1,1,151.2509726,0,0,0,1.00E-15,0.038522875,0,0.57,0
so2f2,flourinated,1,0,0,0,0.36,1,1,1,2.017861267,0,0,0,1.00E-15,0.055130816,0,0.2,0
halon1202,montreal,1,0,0,0,0.025,1,1,1,0.140129255,0,0,0,1.00E-15,0.026816562,0,0.27,0
so2,aerosol_plus,1,0,0,0,1,1,1,1,1,0,0,0,170.6,1,0,-0.00474,0
nox,aerosol_plus,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,0,0
nox_avi,aerosol_plus,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,0,0
co,aerosol_plus,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,0,0
nmvoc,aerosol_plus,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,0,0
bc,aerosol_plus,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,0.056672,0
nh3,aerosol_plus,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,0,0
oc,aerosol_plus,1,0,0,0,1,1,1,1,1,0,0,0,1.00E-15,1,0,-0.017649,0
