Input_Region,Output_Region
ARG,Region-G
ARM,Region-E
AUS,Region-D
AUT,Region-C
AZE,Region-G
BDI,Region-K
BEL,Region-H
BEN,Region-H
BFA,Region-B
BGD,Region-A
BGR,Region-I
BHR,Region-H
BHS,Region-I
BIH,Region-I
BLR,Region-I
BLZ,Region-F
BOL,Region-E
BRA,Region-B
BRB,Region-B
BRN,Region-G
BTN,Region-F
BWA,Region_J
CAF,Region-G
CAN,Region-H
CHE,Region-C
CHL,Region_J
CHN,Region-A
CIV,Region-A
CMR,Region-K
COD,Region-B
COG,Region_J
COL,Region-G
COM,Region-A
CPV,Region-B
CRI,Region-G
CUB,Region-F
CYP,Region-G
CZE,Region-F
DEU,Region-F
DJI,Region-E
DNK,Region-B
DOM,Region_J
DZA,Region-E
ECU,Region-I
EGY,Region-F
ERI,Region-K
ESP,Region-D
EST,Region-C
ETH,Region_J
FIN,Region-G
FJI,Region-G
FRA,Region-H
GAB,Region_J
GBR,Region-F
GEO,Region-I
GHA,Region-F
GIN,Region-K
GMB,Region-B
GNB,Region-K
GNQ,Region-I
GRC,Region-F
GTM,Region-F
GUY,Region-A
HKG,Region-F
HND,Region-F
HRV,Region-H
HTI,Region-E
HUN,Region-F
IDN,Region-D
IND,Region-I
IRL,Region-H
IRN,Region-A
IRQ,Region-H
ISL,Region-E
ISR,Region-I
ITA,Region-F
JAM,Region-H
JOR,Region-I
JPN,Region-K
KAZ,Region-H
KEN,Region-C
KGZ,Region-K
KHM,Region-F
KOR,Region-B
KWT,Region-H
LAO,Region-D
LBN,Region-E
LBR,Region-C
LBY,Region-E
LCA,Region-D
LKA,Region-B
LSO,Region_J
LTU,Region-D
LUX,Region-B
LVA,Region-D
MAR,Region-C
MDA,Region-E
MDG,Region_J
MDV,Region-E
MEX,Region-I
MKD,Region-A
MLI,Region-H
MLT,Region-D
MNG,Region_J
MOZ,Region-I
MRT,Region-I
MUS,Region-A
MWI,Region-C
MYS,Region-A
NAM,Region-I
NER,Region-A
NGA,Region-F
NIC,Region-D
NLD,Region-K
NOR,Region-E
NPL,Region-A
NZL,Region-F
OMN,Region-I
PAK,Region-G
PAN,Region-C
PER,Region-K
PHL,Region-C
PNG,Region-H
POL,Region-B
PRI,Region-B
PRT,Region-K
PRY,Region-E
ROU,Region-I
RUS,Region_J
RWA,Region-H
SAU,Region-I
SDN,Region-G
SEN,Region_J
SGP,Region-C
SLB,Region-I
SLE,Region-H
SLV,Region-A
SOM,Region-H
SRB,Region-E
STP,Region-G
SUR,Region-D
SVK,Region-C
SVN,Region-I
SWE,Region-E
SWZ,Region-E
SYR,Region-C
TCD,Region-B
TGO,Region-I
THA,Region-E
TJK,Region-G
TKM,Region-C
TLS,Region-F
TON,Region-I
TTO,Region-B
TUN,Region-H
TUR,Region-D
TZA,Region-B
UGA,Region-B
UKR,Region-C
URY,Region-D
USA,Region-H
UZB,Region-B
VCT,Region-C
VEN,Region-B
VNM,Region-G
VUT,Region-G
WSM,Region-C
YEM,Region-E
ZAF,Region-I
ZMB,Region-C
ZWE,Region-F
