"year","country","pop","gdp"
2010,"USA",314.242013,12927.03013
2011,"USA",316.72350798,13173.452912
2012,"USA",319.20500296,13419.875693999998
2013,"USA",321.68649794,13666.298476
2014,"USA",324.16799292,13912.721258000001
2015,"USA",326.6494879,14159.14404
2016,"USA",329.22118824000006,14512.309248000001
2017,"USA",331.79288857999995,14865.474456
2018,"USA",334.36458891999996,15218.639664
2019,"USA",336.93628926,15571.804872
2020,"USA",339.5079896,15924.97008
2021,"USA",342.08087204000003,16259.070594
2022,"USA",344.65375448,16593.171108000002
2023,"USA",347.22663692,16927.271622
2024,"USA",349.79951936,17261.372136
2025,"USA",352.3724018,17595.47265
2026,"USA",354.82239028000004,17908.745788
2027,"USA",357.27237876,18222.018925999997
2028,"USA",359.72236724,18535.292064
2029,"USA",362.17235572000004,18848.565201999998
2030,"USA",364.6223442,19161.83834
2031,"USA",366.90574502000004,19507.576834
2032,"USA",369.18914584,19853.315327999997
2033,"USA",371.47254666,20199.053822
2034,"USA",373.75594748000003,20544.792316
2035,"USA",376.0393483,20890.53081
2036,"USA",378.15100768,21253.050394
2037,"USA",380.26266706,21615.569978
2038,"USA",382.37432644,21978.089562
2039,"USA",384.48598582,22340.609146000003
2040,"USA",386.5976452,22703.12873
2041,"USA",388.52922522000006,23077.382104000004
2042,"USA",390.46080524,23451.635478
2043,"USA",392.39238525999997,23825.888852
2044,"USA",394.32396528000004,24200.142226000004
2045,"USA",396.2555453,24574.3956
2046,"USA",398.08276892000003,24916.649532000003
2047,"USA",399.90999254,25258.903464000003
2048,"USA",401.73721616,25601.157396000002
2049,"USA",403.56443978000004,25943.411328000006
2050,"USA",405.3916634,26285.66526
2051,"USA",407.21387788000004,26626.971278000005
2052,"USA",409.03609236,26968.277296
2053,"USA",410.85830684,27309.583314000003
2054,"USA",412.68052132,27650.889332000002
2055,"USA",414.5027358,27992.19535
2056,"USA",416.34631718,28348.064782
2057,"USA",418.18989855999996,28703.934214
2058,"USA",420.03347994,29059.803646
2059,"USA",421.87706132000005,29415.673078
2060,"USA",423.7206427,29771.54251
2061,"USA",425.45770136000004,30159.166544
2062,"USA",427.19476002,30546.790578
2063,"USA",428.93181868,30934.414612
2064,"USA",430.66887734000005,31322.038646
2065,"USA",432.405936,31709.66268
2066,"USA",433.95550108000003,32083.712308000002
2067,"USA",435.50506616,32457.761936000003
2068,"USA",437.05463124000005,32831.811564
2069,"USA",438.60419632,33205.861192
2070,"USA",440.1537614,33579.91082
2071,"USA",441.45982094,33934.422306
2072,"USA",442.76588048,34288.933791999996
2073,"USA",444.07194002,34643.445278
2074,"USA",445.37799956000003,34997.956764
2075,"USA",446.6840591,35352.46825
2076,"USA",447.7121227,35730.575602000004
2077,"USA",448.7401863,36108.682953999996
2078,"USA",449.7682499,36486.790305999995
2079,"USA",450.7963135,36864.897658
2080,"USA",451.8243771,37243.00501
2081,"USA",452.5853113,37601.466234
2082,"USA",453.3462455,37959.927458
2083,"USA",454.10717969999996,38318.388682000004
2084,"USA",454.8681139,38676.849906
2085,"USA",455.6290481,39035.31113
2086,"USA",456.16201312,39376.952116
2087,"USA",456.69497814,39718.593102
2088,"USA",457.22794316,40060.234088000005
2089,"USA",457.76090818,40401.875074
2090,"USA",458.2938732,40743.51606
2091,"USA",458.62263252,41075.665564
2092,"USA",458.95139184,41407.815067999996
2093,"USA",459.28015115999995,41739.964572
2094,"USA",459.60891048,42072.114076
2095,"USA",459.9376698,42404.26358
2096,"USA",460.04487922000004,42728.089029999996
2097,"USA",460.15208864,43051.91448
2098,"USA",460.25929806,43375.739929999996
2099,"USA",460.36650748000005,43699.56538
2100,"USA",460.4737169,44023.39083
2101,"USA",460.58332682797914,44353.44412451931
2102,"USA",460.6927971056581,44684.61639387114
2103,"USA",460.8021554102222,45016.90407348759
2104,"USA",460.9114015182575,45350.30092514901
2105,"USA",461.0205355155421,45684.80069458555
2106,"USA",461.1295574844524,46020.397082315794
2107,"USA",461.2384675074262,46357.08374463433
2108,"USA",461.3472656669244,46694.8542942627
2109,"USA",461.4559520454309,47033.702301005425
2110,"USA",461.5645267254523,47373.62129240666
