"year","country","pop","gdp"
2010,"USA",314.242013,12927.03013
2011,"USA",316.28194752,13141.956144
2012,"USA",318.32188204,13356.882158
2013,"USA",320.36181656,13571.808172000001
2014,"USA",322.40175108,13786.734186000002
2015,"USA",324.4416856,14001.6602
2016,"USA",326.08184954,14282.001656
2017,"USA",327.72201348,14562.343112
2018,"USA",329.36217741999997,14842.684568
2019,"USA",331.00234136,15123.026024000003
2020,"USA",332.6425053,15403.36748
2021,"USA",333.74286694,15624.050692
2022,"USA",334.84322857999996,15844.733904
2023,"USA",335.94359022000003,16065.417116
2024,"USA",337.04395186,16286.100328
2025,"USA",338.1443135,16506.78354
2026,"USA",338.76673046,16667.337374000002
2027,"USA",339.38914742000003,16827.891208
2028,"USA",340.01156438,16988.445042
2029,"USA",340.63398134000005,17148.998876
2030,"USA",341.2563983,17309.55271
2031,"USA",341.56485906000006,17459.496434
2032,"USA",341.87331982,17609.440157999998
2033,"USA",342.18178058,17759.383882
2034,"USA",342.49024134000007,17909.327606000003
2035,"USA",342.7987021,18059.27133
2036,"USA",342.79862428000007,18181.57644
2037,"USA",342.79854646,18303.88155
2038,"USA",342.79846864,18426.18666
2039,"USA",342.79839082000007,18548.49177
2040,"USA",342.798313,18670.79688
2041,"USA",342.46419946000003,18760.538474
2042,"USA",342.13008592,18850.280068
2043,"USA",341.79597238,18940.021662
2044,"USA",341.46185884000005,19029.763256000002
2045,"USA",341.1277453,19119.50485
2046,"USA",340.51190452000003,19160.188526
2047,"USA",339.89606374,19200.872202
2048,"USA",339.28022296,19241.555878
2049,"USA",338.66438217999996,19282.239554
2050,"USA",338.0485414,19322.92323
2051,"USA",337.27872063999996,19344.082244
2052,"USA",336.50889988,19365.241258000002
2053,"USA",335.73907912,19386.400272
2054,"USA",334.96925836,19407.559286
2055,"USA",334.1994376,19428.7183
2056,"USA",333.3285396,19436.889944000002
2057,"USA",332.4576416,19445.061588
2058,"USA",331.5867436,19453.233232
2059,"USA",330.7158456,19461.404876
2060,"USA",329.8449476,19469.57652
2061,"USA",328.84300958000006,19475.138864
2062,"USA",327.84107156000005,19480.701208
2063,"USA",326.83913354000003,19486.263552
2064,"USA",325.83719552,19491.825896000002
2065,"USA",324.8352575,19497.38824
2066,"USA",323.66476008000006,19465.02634
2067,"USA",322.49426266,19432.66444
2068,"USA",321.32376524,19400.30254
2069,"USA",320.15326782,19367.94064
2070,"USA",318.9827704,19335.57874
2071,"USA",317.6144744,19266.151092
2072,"USA",316.24617839999996,19196.723444000003
2073,"USA",314.8778824,19127.295796
2074,"USA",313.50958640000005,19057.868148
2075,"USA",312.1412904,18988.4405
2076,"USA",310.55463690000005,18928.087434
2077,"USA",308.9679834,18867.734367999998
2078,"USA",307.38132989999997,18807.381302
2079,"USA",305.7946764,18747.028236
2080,"USA",304.2080229,18686.67517
2081,"USA",302.43830876000004,18613.508214
2082,"USA",300.66859462,18540.341258
2083,"USA",298.89888048,18467.174302
2084,"USA",297.12916634000004,18394.007346000002
2085,"USA",295.3594522,18320.84039
2086,"USA",293.46031576,18242.447202000003
2087,"USA",291.56117932,18164.054014
2088,"USA",289.66204288,18085.660826
2089,"USA",287.76290644,18007.267638
2090,"USA",285.86377,17928.87445
2091,"USA",283.86366254,17849.350846
2092,"USA",281.86355508,17769.827242
2093,"USA",279.86344762,17690.303638
2094,"USA",277.86334016,17610.780034000003
2095,"USA",275.8632327,17531.25643
2096,"USA",273.77879782,17435.544036000003
2097,"USA",271.69436294,17339.831642
2098,"USA",269.60992806,17244.119248000003
2099,"USA",267.52549318,17148.406854
2100,"USA",265.4410583,17052.69446
2101,"USA",263.42017962791874,16959.27751075253
2102,"USA",261.4300886610733,16867.02039403801
2103,"USA",259.47020107616135,16775.905666545677
2104,"USA",257.53994563711814,16685.91588837234
2105,"USA",255.63876404341136,16597.03394147325
2106,"USA",253.7661105920552,16509.24302087778
2107,"USA",251.92145184974513,16422.526628064195
2108,"USA",250.10426633458363,16336.868564480656
2109,"USA",248.31404420708608,16252.252925220664
2110,"USA",246.55028697016917,16168.664092848932
2111,"USA",244.81250717783212,16086.086731373642
2112,"USA",243.1002281522536,16004.50578036129
2113,"USA",241.4129837090346,15923.906449190366
2114,"USA",239.75031789032897,15844.27421144022
2115,"USA",238.1117847056104,15765.594799411643
2116,"USA",236.49694787983543,15687.854198775707
2117,"USA",234.90538060876813,15611.038643347523
2118,"USA",233.33666532124155,15535.134609981722
2119,"USA",231.7903934481392,15460.1288135865
2120,"USA",230.26616519788527,15386.008202253182
2121,"USA",228.76358933824184,15312.75995249831
2122,"USA",227.28228298421612,15240.371464615431
2123,"USA",225.82187139188937,15168.830358133742
2124,"USA",224.3819877579836,15098.124467380838
2125,"USA",222.96227302499048,15028.24183714702
2126,"USA",221.56237569169016,14959.170718448471
2127,"USA",220.1819516288965,14890.899564386864
2128,"USA",218.82066390026796,14823.417026102974
2129,"USA",217.47818258803056,14756.711948821883
2130,"USA",216.1541846234637,14690.77336798752
2131,"USA",214.8483536220044,14625.590505484255
2132,"USA",213.5603797228312,14561.15276594346
2133,"USA",212.2899594327922,14497.449733132757
2134,"USA",211.0367954745474,14434.4711664261
2135,"USA",209.8005966387993,14372.20699735253
2136,"USA",208.5810776404892,14310.647326221682
2137,"USA",207.37795897884197,14249.782418824228
2138,"USA",206.190966801145,14189.602703205344
2139,"USA",205.0198327701503,14130.098766509383
2140,"USA",203.8642939349936,14071.261351894102
2141,"USA",202.7240926055269,14013.08135551262
2142,"USA",201.598976229964,13955.54982356158
2143,"USA",200.48869727574248,13898.65794939381
2144,"USA",199.3930131135084,13842.397070693958
2145,"USA",198.3116859041327,13786.758666715568
2146,"USA",197.2444824886715,13731.734355578114
2147,"USA",196.1911742811853,13677.315891622537
2148,"USA",195.15153716433448,13623.495162823898
2149,"USA",194.1253513876715,13570.26418825977
2150,"USA",193.11240146855224,13517.615115632996
2151,"USA",192.1124760955921,13465.540218847582
2152,"USA",191.12536803459335,13414.03189563642
2153,"USA",190.15087403687488,13363.082665239594
2154,"USA",189.18879474993489,13312.685166132103
2155,"USA",188.23893463038135,13262.832153799847
2156,"USA",187.3011018590664,13213.516498562649
2157,"USA",186.375108258362,13164.731183443291
2158,"USA",185.46076921151743,13116.4693020815
2159,"USA",184.5579035840405,13068.724056691726
2160,"USA",183.6663336470455,13021.488756063773
2161,"USA",182.78588500251365,12974.756813605263
2162,"USA",181.91638651041305,12928.52174542496
2163,"USA",181.05767021762625,12882.777168455985
2164,"USA",180.2095712886361,12837.516798618031
2165,"USA",179.37192793792164,12792.734449017664
2166,"USA",178.5445813640161,12748.424028185784
2167,"USA",177.727375685183,12704.579538351503
2168,"USA",176.9201578766652,12661.19507375148
2169,"USA",176.12277770946443,12618.26481897398
2170,"USA",175.33508769060973,12575.783047336834
2171,"USA",174.5569430048747,12533.74411929854
2172,"USA",173.7882014579043,12492.142480901744
2173,"USA",173.02872342071308,12450.972662248334
2174,"USA",172.2783717755185,12410.229276005535
2175,"USA",171.5370118628734,12369.907015942152
2176,"USA",170.80451143006263,12330.00065549442
2177,"USA",170.0807405807307,12290.50504636072
2178,"USA",169.36557172570735,12251.415117124508
2179,"USA",168.65887953499976,12212.725871904897
2180,"USA",167.96054089091987,12174.43238903417
2181,"USA",167.27043484231794,12136.529819761749
2182,"USA",166.58844255989223,12099.013386983866
2183,"USA",165.9144472925473,12061.878383998572
2184,"USA",165.24833432477325,12025.12017328533
2185,"USA",164.5899909350196,11988.734185308753
2186,"USA",163.93930635503713,11952.715917345957
2187,"USA",163.296171730164,11917.060932336968
2188,"USA",162.66048008053005,11881.764857757704
2189,"USA",162.0321262631571,11846.823384515
2190,"USA",161.4110069349312,11812.232265863271
2191,"USA",160.79702051642496,11777.987316342267
2192,"USA",160.1900671565479,11744.084410735484
2193,"USA",159.59004869800415,11710.519483048804
2194,"USA",158.99686864353626,11677.288525508891
2195,"USA",158.41043212293584,11644.387587580954
2196,"USA",157.8306458608012,11611.812775005434
2197,"USA",157.25741814502325,11579.5602488532
2198,"USA",156.69065879598114,11547.626224598876
2199,"USA",156.13027913643032,11516.006971211937
2200,"USA",155.57619196206494,11484.698810265112
2201,"USA",155.02831151273824,11453.698115059791
2202,"USA",154.48655344432444,11423.001309768117
2203,"USA",153.95083480120596,11392.604868591234
2204,"USA",153.42107398937068,11362.50531493358
2205,"USA",152.89719075010413,11332.699220592714
2206,"USA",152.37910613426166,11303.1832049644
2207,"USA",151.86674247710673,11273.953934262669
2208,"USA",151.36002337370104,11245.008120754468
2209,"USA",150.8588736548332,11216.342522008688
2210,"USA",150.36321936347267,11187.953940159128
2211,"USA",149.8729877317363,11159.83922118129
2212,"USA",149.38810715835467,11131.995254182517
2213,"USA",148.90850718662676,11104.418970705388
2214,"USA",148.43411848285032,11077.107344043936
2215,"USA",147.9648728152171,11050.057388572515
2216,"USA",147.50070303316144,11023.26615908705
2217,"USA",147.0415430471515,10996.73075015836
2218,"USA",146.58732780891225,10970.44829549736
2219,"USA",146.13799329207026,10944.415967331888
2220,"USA",145.69347647321007,10918.630975794906
2221,"USA",145.2537153133322,10893.090568323829
2222,"USA",144.8186487397036,10867.792029070784
2223,"USA",144.38821662809096,10842.732678323611
2224,"USA",143.96235978536802,10817.90987193726
2225,"USA",143.541019932488,10793.32100077551
2226,"USA",143.12413968781271,10768.963490162756
2227,"USA",142.71166255078958,10744.83479934562
2228,"USA",142.30353288596913,10720.932420964247
2229,"USA",141.8996959073543,10697.253880533048
2230,"USA",141.5000976630743,10673.79673593072
2231,"USA",141.1046850203755,10650.558576899386
2232,"USA",140.7134056509216,10627.537024552605
2233,"USA",140.32620801639635,10604.729730892104
2234,"USA",139.9430413544018,10582.134378333136
2235,"USA",139.5638556646451,10559.748679238146
2236,"USA",139.18860169540733,10537.5703754587
2237,"USA",138.817230930288,10515.597237885471
2238,"USA",138.44969557521873,10493.827066006108
2239,"USA",138.08594854574034,10472.257687470868
2240,"USA",137.72594345453683,10450.886957665836
2241,"USA",137.36963459922103,10429.712759293585
2242,"USA",137.01697695036566,10408.733001961116
2243,"USA",136.66792613977478,10387.945621775
2244,"USA",136.3224384489899,10367.348580943491
2245,"USA",135.98047079802566,10346.939867385548
2246,"USA",135.64198073432962,10326.71749434658
2247,"USA",135.3069264219617,10306.679500020831
2248,"USA",134.97526663098785,10286.82394718023
2249,"USA",134.6469607270836,10267.148922809629
